2699, 2542, 157, 90, 5949, 2866, 3085
2699, 2540, 159, 90, 5978, 2884, 3085
2699, 2542, 157, 90, 5978, 2874, 3085
2699, 2542, 157, 90, 5949, 2874, 3085
2699, 2541, 158, 90, 5978, 2879, 3085
2699, 2541, 158, 90, 5949, 2875, 3085
2699, 2540, 159, 90, 5978, 2876, 3085
2699, 2539, 160, 90, 5949, 2881, 3085
2699, 2539, 160, 90, 5978, 2885, 3085
2699, 2540, 159, 90, 5978, 2872, 3085
2699, 2538, 161, 90, 5890, ²
2699, 2541, 158, 90, 5949, 2863, 3085
2699, 2541, 158, 90, 5949, 2875, 3085
2699, 2542, 157, 90, 5949, 2870, 3085
2699, 2542, 157, 90, 5978, 2870, 3085
2699, 2543, 156, 90, 5949, 2870, 3085
2699, 2545, 154, 90, 5978, 2864, 3085
2699, 2541, 158, 90, 5920, 2891, 3085
2699, 2542, 157, 90, 5949, 2874, 3085
2699, 2540, 159, 90, 5978, 2884, 3085
2699, 2542, 157, 90, 5949, 2866, 3085
2699, 2541, 158, 90, 5978, 2879, 3085
2699, 2541, 158, 90, 5920, 2867, 3085
2699, 2541, 158, 90, 5949, 2875, 3085
2699, 2541, 158, 90, 5949, 2871, 3085
2699, 2541, 158, 90, 5978, 2875, 3085
2699, 2543, 156, 90, 5949, 2870, 3085
2699, 2541, 158, 90, 5949, 2883, 3085
2699, 2544, 155, 90, 5978, 2861, 3085
2699, 2542, 157, 90, 5949, 2882, 3085
2699, 2541, 158, 90, 5949, 2875, 3085
568, 2541, 1626, 59, 5571, 3502, 3085
2699, 2511, 188, 90, 5368, 2027, 3085
2699, 2479, 220, 90, 5949, 3047, 3085
2699, 2538, 161, 90, 5978, 2729, 3085
2699, 2571, 128, 90, 5978, 2722, 3085
0, 2654, 945, 71, 5861, 3502, 3085
2699, 2677, 22, 90, 5978, 2027, 3085
2699, 2777, -78, 90, 5949, 2586, 3085
2699, 2811, -112, 90, 5949, 2550, 3085
2699, 2821, -122, 90, 5949, 2671, 3085
710, 2831, 1478, 56, 5978, 3502, 3085
2699, 2810, -111, 90, 5978, 2027, 3085
2699, 2803, -104, 90, 5629, 2720, 3085
2699, 2783, -84, 90, 5949, 2782, 3085
2699, 2758, -59, 90, 5978, 2823, 3085
3268, 2698, 570, 78, 5890, 3502, 3085
2699, 2638, 61, 90, 5978, 2027, 3085
2699, 2635, 64, 90, 5978, 2873, 3085
2699, 2623, 76, 90, 5949, 2866, 3085
